	TargetID	DrugID	Highest_status	MOA
227	T28893	D09AOO	Phase 1	Agonist
228	T18477	D0V9MT	Phase 1	Inhibitor
229	T15000	D02RPO	Phase 1	.
230	T40474	D01FSX	Phase 1	Inhibitor
231	T53764	DN2F9A	Phase 1	Inhibitor
232	T67849	DA02DE	Phase 1	Inhibitor
233	T92124	DBZ87Q	Phase 1	.
234	T93923	DN2F9A	Phase 1	Inhibitor
235	T05031	D05CBJ	Phase 1/2	Inhibitor
236	T67849	D05CBJ	Phase 1/2	Inhibitor
237	T80276	D05CBJ	Phase 1/2	Inhibitor
238	T18779	D04WHM	Phase 1/2	Modulator
239	T78114	D02WLS	Phase 1/2	.
240	T60529	D05TPI	Phase 1/2	Inhibitor
241	T86803	D0B4MK	Phase 1/2	.
242	T64969	D08RJY	Phase 1/2	CAR-T-Cell-Therapy
243	T88023	D0I5GS	Phase 1/2	CAR-T-Cell-Therapy
244	T73215	D05PZI	Phase 1/2	CAR-T-Cell-Therapy
245	T71164	D0S4GT	Phase 1/2	CAR-T-Cell-Therapy
246	T56365	D03UNT	Phase 1/2	CAR-T-Cell-Therapy
247	T56365	D08BPS	Phase 1/2	CAR-T-Cell-Therapy
248	T87108	D00YXG	Phase 1/2	CAR-T-Cell-Therapy
249	T18779	D05CSS	Phase 1/2	CAR-T-Cell-Therapy
250	T56365	D0U0BN	Phase 1/2	CAR-T-Cell-Therapy
251	T56365	D0FF0N	Phase 1/2	CAR-T-Cell-Therapy
252	T06438	D05TPI	Phase 1/2	Modulator
253	T63414	D02AIZ	Phase 1/2	.
254	T65755	D09RYU	Phase 1/2	Inhibitor
255	T88537	D05TPI	Phase 1/2	Modulator
256	T95241	D08ANJ	Phase 1/2	Inhibitor
257	T95241	D0FI1L	Phase 1/2	Activator
258	T25265	DM5X0L	Phase 1/2	Inhibitor
259	T65019	DE2Z7V	Phase 1/2a	Inhibitor
260	T69707	D02BLD	Phase 2	Modulator
261	T47768	D0T0ZW	Phase 2	Inhibitor
262	T15739	D03XTY	Phase 2	Stimulator
263	T50823	D0N1SH	Phase 2	.
264	T56915	D04MCY	Phase 2	Inhibitor
265	T15803	D0KY7S	Phase 2	.
266	T70508	D0LF1U	Phase 2	Inhibitor
267	T61722	D0RL4X	Phase 2	Antagonist
268	T82383	D0X9VR	Phase 2	.
269	T59045	D0EJ7U	Phase 2	Inhibitor
270	T14755	D0C8NG	Phase 2	.
271	T55936	D03SHD	Phase 2	Inhibitor
272	T92072	D00SUK	Phase 2	Inhibitor
273	T86679	D00SUK	Phase 2	Inhibitor
274	T77365	D00SUK	Phase 2	Inhibitor
275	T36059	D00SUK	Phase 2	Inhibitor
276	T05849	D0TL7L	Phase 2	Inhibitor
277	T28330	D0TL7L	Phase 2	Inhibitor
278	T97111	D09WKM	Phase 2	.
279	T38950	D04MGW	Phase 2	.
280	T41515	D0SL8T	Phase 2	.
281	T30687	D0F8XK	Phase 2	.
282	T87875	D04WIF	Phase 2	.
283	T16691	D0L8IO	Phase 2	Modulator
284	T62905	D05KBU	Phase 2	Modulator
285	T49507	D06WRF	Phase 2	Modulator
286	T26220	D0M5VV	Phase 2	Modulator
287	T95399	D0LF1U	Phase 2	Inhibitor
288	T62974	D0M5VV	Phase 2	Inhibitor
289	T56365	D0G4IW	Phase 2	CAR-T-Cell-Therapy
290	T56365	D0I0NJ	Phase 2	CAR-T-Cell-Therapy
291	T56365	D0RA1R	Phase 2	CAR-T-Cell-Therapy
292	T56365	D06TKR	Phase 2	CAR-T-Cell-Therapy
293	T00176	D07UKT	Phase 2	Antagonist
294	T02469	D0JW6R	Phase 2	Inhibitor
295	T05409	D0N1SH	Phase 2	Inhibitor
296	T08391	D01UAU	Phase 2	Inhibitor
297	T20333	D0YO4B	Phase 2	Antagonist
298	T25307	D0VB4X	Phase 2	Inhibitor
299	T28413	D08NZG	Phase 2	Antagonist
300	T33124	D03RXS	Phase 2	Inhibitor
301	T36741	D07UKT	Phase 2	Inhibitor
302	T44458	D0LF1U	Phase 2	Inhibitor
303	T45758	D0C8NG	Phase 2	Inhibitor
304	T59328	D0A6CC	Phase 2	Antagonist
305	T59328	D0FN4T	Phase 2	Antagonist
