,alkaptonuria,homocystinuria,nonketotic hyperglycinemia,phenylketonuria,tyrosinemia I,tyrosinemia II,tyrosinemia III
MRM2,6.8470020816521706e-06,0.30192680806539346,0.35026182155391383,0.44841313363580876,0.10808039962790339,0.3078545445636631,0.3082494184351322
ALDH5A1,0.44342753306830984,0.5605956257637822,0.35026182155391383,0.7170265370056891,0.81468376120697,0.7402560503865272,0.7755424130681752
IL37,6.8470020816521706e-06,0.33507505265421555,0.1327958041728258,0.1793970374830778,2.5664651152923453e-11,2.2978812257895183e-10,5.5665796345082364e-12
IMPDH2,0.9689322589868739,0.8095633779010298,0.8134466875015329,0.8931786830001809,0.999846226815586,0.9956512455219996,0.9983063286916455
PPP3CA,0.9750563071071771,0.8502864764308855,0.8799931120377391,0.9013334434282416,0.998766581781007,0.8882307894305164,0.9171641798410471
PDGFRB,0.9173286192023842,0.7908734381949352,0.6916298190189863,0.7871306179011436,0.9525991479568332,0.9431562028866598,0.9629935045578503
FECH,0.8184098477700262,0.5332371179133151,0.35026182155391383,0.3044906454681525,0.10808039962790339,0.3078545445636631,0.3082494184351322
LPCAT1,0.9463439341281245,0.6676021866214068,0.601862085108418,0.8402506975436197,0.81468376120697,0.45227500083407474,0.46753379367541703
LCK,0.9869200563027629,0.863436370112864,0.9114470371888335,0.98228584517109,0.997117607192098,0.9431562028866598,0.9629935045578503
BCL2,0.9629228822669513,0.8421535216973133,0.6297827439927812,0.9532267557812426,0.9999966569315378,0.9556271157886034,0.9724759028970228
FYN,0.9999999999999634,0.9137743096681932,0.7781278840634601,0.9866891367457093,0.9989585290102981,0.9972191510078559,0.9990112508542304
SLC23A1,6.8470020816521706e-06,0.118820867389738,0.35026182155391383,0.1793970374830778,0.10808039962790339,2.2978812257895183e-10,5.5665796345082364e-12
ITPR1,0.8184098477700262,0.30192680806539346,0.35026182155391383,0.8184156011549104,0.9999787476522943,0.3078545445636631,0.3082494184351322
CSNK1E,0.9110889509230846,0.8251928514486463,0.8206707051123996,0.8670766415122839,0.9998684912441526,0.9703334646012052,0.9830014109148867
PTPN1,0.9869200563027629,0.8026220535874053,0.7765713423760161,0.9168324673550121,0.9804371653027556,0.8475919835332757,0.9780617229764147
DPP4,0.8184098477700262,0.8046308864945146,0.8265963576095448,0.8225560050709195,0.9487992141136224,0.9556271157886034,0.9724759028970228
HDAC1,0.9323530514210954,0.8259074367146342,0.6945725078462546,0.9159301090757529,0.9999934949962019,0.9995471838431296,0.9447467188217953
PCDHA4,0.9999999996527902,0.30192680806539346,0.35026182155391383,0.49936129684322256,0.10808039962790339,0.3078545445636631,0.3082494184351322
ITGB7,0.8184098477700262,0.6816894941784852,0.35026182155391383,0.732985875451938,0.9897394990898076,0.9995471838431296,0.9998890394112571
FGA,0.9323530514210954,0.585146659150412,0.5598990714875123,0.9004612746853737,0.957685387507111,0.9977498360113317,0.9992337944003871
CFH,0.9869200563027629,0.9768856796921843,0.9569290818148357,0.9118283669695082,0.9897394990898076,0.999835412530182,0.9999672675421992
ALAD,0.666881704987159,0.4418042585106535,0.434607883410538,0.6680571563976885,0.3944769362190004,0.7053829587809264,0.739841636273544
ANXA1,0.8184098477700262,0.8022846520766114,0.796403160744021,0.9408257293606013,0.9999983761754795,0.9975660456892355,0.9991578119860943
XDH,0.8184098477700262,0.7018944845310199,0.7033610197498199,0.8969113563296883,0.9233989545543451,0.9999999145262088,0.99999999646805
PLG,0.8184098477700262,0.6633769324546964,0.6206201957678912,0.8897620427885533,0.994226788533795,0.9943258939855645,0.9976674754855055
TYMP,0.8184098477700262,0.6806011028690981,0.6455336623265437,0.9065762230487175,0.9897394990898076,0.9995471838431296,0.9998890394112571
BLVRA,0.8184098477700262,0.8011523821098112,0.54284892028499,0.9123307913239055,0.9936907275093223,0.9632899930489504,0.9780617229764147
ALB,0.9323530514210954,0.8385541941567536,0.7688193960972205,0.9520749105278388,0.9964352501298952,0.9999617360248146,0.9999943733064715
CYP17A1,0.44342753306830984,0.29306593811769754,0.09010900493434598,0.6756197627578466,0.81468376120697,0.3078545445636631,0.3082494184351322
HMGCR,0.19951473786379098,0.41046664188687615,0.024306576698016495,0.4078813023646344,0.0012910791065320125,0.9204619399398323,0.3082494184351322
ABCC9,6.8470020816521706e-06,0.10014078311229224,0.1327958041728258,0.1793970374830778,0.10808039962790339,0.3078545445636631,0.3082494184351322
ACD,0.9173286192023842,0.8986628676109891,0.968243513964035,0.8387014441379073,0.9999787476522943,0.7053829587809264,0.739841636273544
SYK,0.8184098477700262,0.30192680806539346,0.35026182155391383,0.8184156011549104,0.10808039962790339,0.3078545445636631,0.3082494184351322
GSK3A,0.9750563071071771,0.3419521913734913,0.3902296228502896,0.7116153562847769,0.43220777510049824,0.04967461095356769,0.03930048280199877
PPOX,0.19951473786379098,0.44956272845170847,0.6455336623265437,0.40773392188790825,0.10808039962790339,0.9204619399398323,0.9447467188217953
MEC1,0.9282387924972293,0.8515202913262394,0.8888813168699546,0.9485224264592522,0.9999943207025646,0.9888673494699061,0.9999523650699064
ERBB2,0.996116098542742,0.9049893268059265,0.8998548143545309,0.9598469426775555,0.9994686721467486,0.9951119252095557,0.9980505106075972
CHRM2,0.8184098477700262,0.38315144171484383,0.024306576698016495,0.2367399487697445,0.7053810737333275,0.3078545445636631,0.3082494184351322
MUT,0.8184098477700262,0.30192680806539346,0.35026182155391383,0.3044906454681525,0.10808039962790339,0.3078545445636631,0.3082494184351322
IMPDH1,0.9629228822669513,0.8215251494063038,0.7974448490503484,0.9154253174323863,0.9993248147934477,0.9909422495904111,0.9959068744442189
PLAUR,0.5628402457972428,0.6751526444994285,0.7322098985076014,0.6143563217547937,0.81468376120697,0.3078545445636631,0.3082494184351322
PRKCA,0.9367330359392979,0.87179468592203,0.7670464758291666,0.9136575643683669,0.9991914291452009,0.9683890082255442,0.9816583215508627
ALDH3A2,0.9750563071071771,0.8414742789475338,0.8972988913866354,0.9518950846568416,0.9999787476522943,0.9632899930489504,0.9780617229764147
GBA,0.8184098477700262,0.5332371179133151,0.35026182155391383,0.44841313363580876,0.10808039962790339,0.3078545445636631,0.3082494184351322
TRHR,0.8184098477700262,0.1536448123235873,3.938906844063332e-05,0.19725058349704438,0.005094354525096345,0.8239837065584011,0.019068801149706775
FGF2,0.44342753306830984,0.47405216943843054,0.35026182155391383,0.879760096583761,0.998766581781007,0.9632899930489504,0.9780617229764147
MTNR1A,0.8961395744159513,0.8095519838688362,0.821471685912224,0.8579685409089525,0.9897394990898076,0.9850810741692463,0.9925461996556005
ESRRA,6.8470020816521706e-06,0.30192680806539346,0.35026182155391383,0.49936129684322256,0.10808039962790339,0.3078545445636631,0.3082494184351322
COASY,0.9173286192023842,0.7025374444054021,0.7959207363072174,0.8798828282509449,0.22595475801661807,0.7053829587809264,0.739841636273544
ABCA1,0.8184098477700262,0.6736656063334175,0.35026182155391383,0.7850061598020084,0.9750799998073167,0.7402560503865272,0.7755424130681752
TGFB1,0.9055408551424304,0.7865778724019152,0.8195207417002648,0.892164615148638,0.9979042160359479,0.9556271157886034,0.9724759028970228
JAK1,0.9750563071071771,0.8475815565712002,0.8901597893094686,0.9157465918293083,0.9994686721467486,0.9951119252095557,0.9980505106075972
INSR,0.941393067862598,0.8572611214075172,0.6668250343032984,0.9004399124310192,0.997117607192098,0.8239837065584011,0.8580806146135407
PCSK9,0.8184098477700262,0.6418233651944891,0.6626089667780805,0.7931504684194289,0.9897394990898076,0.9204619399398323,0.9447467188217953
SCNN1A,0.44342753306830984,0.5605956257637822,0.35026182155391383,0.9020067310159664,0.9750799998073167,0.7402560503865272,0.7755424130681752
FHIT,6.8470020816521706e-06,0.118820867389738,0.35026182155391383,0.8184156011549104,0.10808039962790339,0.3078545445636631,0.3082494184351322
PDGFRA,0.9173286192023842,0.7701555874186834,0.8131348041666989,0.9860814554939841,0.9897394990898076,0.9431562028866598,0.9629935045578503
NAGLU,0.8184098477700262,0.30192680806539346,0.35026182155391383,0.6235449497798402,0.10808039962790339,0.3078545445636631,0.3082494184351322
NFKB1,0.9750563071071771,0.7943865330534032,0.6642140348774549,0.8803047120806881,0.996230321872384,0.7402560503865272,0.7755424130681752
ARSB,6.8470020816521706e-06,0.2681846953875999,0.1327958041728258,0.6235449497798402,0.10808039962790339,0.3078545445636631,0.3082494184351322
IL17RA,0.0047153449317544425,0.516455941547921,0.6455336623265437,0.5710003337180959,0.10808039962790339,0.3078545445636631,0.3082494184351322
GALNS,0.3426702433455221,0.6945168199942354,0.587050643952014,0.8724187556936875,0.5381425172364857,0.8239837065584011,0.8580806146135407
FGFR3,6.8470020816521706e-06,0.30192680806539346,0.35026182155391383,0.8184156011549104,0.10808039962790339,0.3078545445636631,0.3082494184351322
ALOX5,0.8184098477700262,0.118820867389738,0.35026182155391383,0.8184156011549104,0.10808039962790339,0.3078545445636631,0.3082494184351322
GUCY2D,6.8470020816521706e-06,0.01868093207815505,1.589052470622418e-07,0.49936129684322256,0.10808039962790339,0.3078545445636631,0.3082494184351322
STS,0.8184098477700262,0.2355289854316041,1.589052470622418e-07,0.4487210041825076,0.10808039962790339,2.2978812257895183e-10,5.5665796345082364e-12
TSHR,0.8184098477700262,0.6107246224075185,0.35026182155391383,0.8111889254833479,0.9750799998073167,0.3078545445636631,0.3082494184351322
CACNA1C,0.8184098477700262,0.821314763550017,0.9797219458775442,0.9110222104066473,0.9233989545543451,0.9909422495904111,0.9959068744442189
LTA4H,0.9629228822669513,0.9559366732308486,0.7033610197498199,0.9661104716192652,0.7053810737333275,0.9909422495904111,0.9959068744442189
TTR,0.8184098477700262,0.8533631652646536,0.8901597893094686,0.8765060062656174,0.9750799998073167,0.9632899930489504,0.9780617229764147
NQO2,0.8184098477700262,0.15345958019502387,0.35026182155391383,0.9155192277711237,0.7053810737333275,0.9204619399398323,0.9447467188217953
DMD,0.924374265411515,0.8146066514001522,0.6246601556522116,0.9064385129282939,0.43220777510049824,0.9632899930489504,0.9780617229764147
PTAFR,0.8184098477700262,0.5654168559687925,0.7951366613910277,0.5949460644226914,0.28416147623900745,0.8239837065584011,0.8580806146135407
ASRGL1,0.8184098477700262,0.3767197887382217,0.35026182155391383,0.6762525562908094,0.10808039962790339,0.9632899930489504,0.9780617229764147
IKBKB,0.9920590187966234,0.8555554566289003,0.8359552414867362,0.9601506032070954,0.9998148567307181,0.8882307894305164,0.9171641798410471
CHRM4,0.8184098477700262,0.387663069998874,0.35026182155391383,0.8969113563296883,0.997117607192098,0.8239837065584011,0.8580806146135407
OPRM1,0.8184098477700262,0.5850742052505812,0.35026182155391383,0.49936129684322256,0.9999787476522943,0.3078545445636631,0.3082494184351322
GPR55,0.8184098477700262,0.6437392966321169,0.7951366613910277,0.6710477655723194,0.9999787476522943,0.3078545445636631,0.3082494184351322
Appl,0.9999993914900115,0.9483881110428938,0.7190538129112104,0.9606018294012166,0.9999787476522943,0.9995471838431296,0.9959068744442189
CG3523,0.9629228822669513,0.9151426503046967,0.9706493073998468,0.979919994813635,0.9999787476522943,0.9995471838431296,0.9684164007818084
ABCC8,0.8184098477700262,0.6077236535742127,0.5066120038883556,0.9116762159154197,0.4123437191553093,0.9414850436113147,0.9750354367598435
TNNC1,0.44342753306830984,0.6834156993736039,0.54284892028499,0.6411808396923047,0.998766581781007,0.9983391646855306,0.9994685238401002
AREG,0.941393067862598,0.9392996877064568,0.904998350484868,0.9320448786112105,0.9999976526903713,0.9810867510804068,0.9830014109148867
LpR2,0.8184098477700262,0.9042918027317212,0.9352006134521824,0.8435837817948375,0.997117607192098,0.9977498360113317,0.9992337944003871
CHRFAM7A,0.8184098477700262,0.36882001998610353,0.35026182155391383,0.3044906454681525,0.10808039962790339,0.3078545445636631,0.3082494184351322
Ef1alpha100E,0.8184098477700262,0.30192680806539346,0.35026182155391383,0.6235449497798402,0.10808039962790339,0.9999999145262088,0.99999999646805
DHX34,6.8470020816521706e-06,0.2681846953875999,0.1327958041728258,0.14849558005340133,0.10808039962790339,0.3078545445636631,0.3082494184351322
RFWD2,0.9110889509230846,0.6695408668202127,0.4862426251498106,0.9141049935903685,0.4791421917270439,0.9762168951906486,0.9884307913965046
btl,0.8184098477700262,0.8981326462232406,0.9114470371888335,0.9063879586105017,0.9995688235356177,0.9746456083195493,0.9859177955121627
TAAR1,6.8470020816521706e-06,0.01868093207815505,1.589052470622418e-07,0.1296666998708198,0.10808039962790339,2.2978812257895183e-10,5.5665796345082364e-12
cxcr4b,0.8184098477700262,0.30192680806539346,0.35026182155391383,0.8184156011549104,0.10808039962790339,0.3078545445636631,0.3082494184351322
NELL1,0.9055408551424304,0.8891481674238967,0.9114470371888335,0.8431687985608477,0.33842457946798543,0.7940214327491752,0.829139419840734
MMP12,0.8184098477700262,0.8054196694090033,0.6246601556522116,0.8814683379550935,0.9936907275093223,0.9909422495904111,0.9959068744442189
SMN1,0.6585675095784088,0.4675789472788594,0.35026182155391383,0.7750984648264835,0.4123437191553093,0.6242585845172798,0.6546052462506295
MMP1,0.9110889509230846,0.820048978023591,0.8323189540858122,0.7825553753966961,0.9233989545543451,0.9204619399398323,0.9447467188217953
Phgdh,0.941393067862598,0.8439547018003395,0.798744591460613,0.984311656565642,0.9999215488388956,0.9909422495904111,0.9959068744442189
