,alkaptonuria,homocystinuria,nonketotic hyperglycinemia,phenylketonuria,tyrosinemia I,tyrosinemia II,tyrosinemia III
LTA4H,0.9806692649606809,0.9391448093453805,0.641293777917679,0.9459180631396654,0.6677360699582647,0.98918365077051,0.9959833291131741
TTR,0.6790270450799486,0.8420543421525061,0.8497272729382819,0.7813674569354973,0.9595788723513496,0.9555632064261992,0.9760810230579844
NQO2,0.6790270450799486,0.15962064683669916,0.2736547870145967,0.8372614236665245,0.6677360699582647,0.9039591461900491,0.9371027396253475
DMD,0.9231603349711914,0.7863157440688876,0.5455351104443532,0.8215951735280166,0.41199952180411004,0.9555632064261992,0.9760810230579844
PTAFR,0.6790270450799486,0.5506808067246192,0.7377426838855834,0.544951966826306,0.27711063964520505,0.7905382857035556,0.8342295648784266
ASRGL1,0.6790270450799486,0.35637633051800277,0.2736547870145967,0.6125754449002742,0.11380917664527818,0.9555632064261992,0.9760810230579844
IKBKB,0.9993423571095541,0.8447520441509163,0.7821369932036661,0.9468376544916908,0.9999762377714153,0.8656331692379723,0.9043842961068032
CHRM4,0.6790270450799486,0.37852400544437914,0.2736547870145967,0.8103410668983765,0.9935024583432858,0.7905382857035556,0.8342295648784266
OPRM1,0.6790270450799486,0.5743783532382698,0.2736547870145967,0.4379642428988874,0.9998980134344836,0.24819679656490873,0.23927535108126674
GPR55,0.6790270450799486,0.6242659899042341,0.7377426838855834,0.5975322275462134,0.9998980134344836,0.24819679656490873,0.23927535108126674
Appl,1.0,0.9452121709662901,0.88631398156679,0.9026320379379091,0.9968326309338876,0.9462761607263879,0.9760810230579844
CG3523,0.40416487567242343,0.9009501442528013,0.9991468367631591,0.9575788837896404,0.9999950333455708,0.9830661068762572,0.9994096107796693
ABCC8,0.6790270450799486,0.542655061305282,0.45167342600647375,0.8613319336447931,0.3265328847310205,0.9504873042189222,0.8342295648784266
TNNC1,0.40416487567242343,0.6675081037807221,0.4577481820834897,0.6027025357550226,0.9968326309338876,0.9980868757911933,0.9995539672554379
AREG,0.9522501479935878,0.9625956439982605,0.8049127746364819,0.9548348986873119,0.9999905584941156,0.98918365077051,0.9896862852904499
LpR2,0.6790270450799486,0.8937173209852606,0.9078187353243965,0.7287576738221263,0.9935024583432858,0.9973881974788839,0.9993375909333231
CHRFAM7A,0.6790270450799486,0.3584738333493689,0.2736547870145967,0.25051660592767255,0.11380917664527818,0.24819679656490873,0.23927535108126674
Ef1alpha100E,0.6790270450799486,0.24364568875333187,0.2736547870145967,0.4858624016596112,0.11380917664527818,0.9999999331450294,0.9999999990721888
DHX34,0.0010602108428699446,0.21007788253597162,0.11602735535757144,0.11822866677246036,0.11380917664527818,0.24819679656490873,0.23927535108126674
RFWD2,0.8973107319276334,0.6341679885422087,0.48805401385823655,0.8259754698637962,0.5094235709167021,0.9712723997316648,0.9878421543062164
btl,0.6790270450799486,0.8836849431206134,0.8748162219315643,0.8229688074912183,0.9986985142510211,0.969360713310127,0.9850255350125826
TAAR1,0.0010602108428699446,0.02155611089752818,0.007489018560003111,0.10660813023104279,0.11380917664527818,0.0020492550998632733,0.0007356872580742899
cxcr4b,0.6790270450799486,0.24364568875333187,0.2736547870145967,0.6733100386308261,0.11380917664527818,0.24819679656490873,0.23927535108126674
NELL1,0.8858462332057486,0.8749909754470548,0.8748162219315643,0.7485520823647962,0.3265328847310205,0.7560939997055806,0.8000531237392798
MMP12,0.6790270450799486,0.732716330681472,0.5455351104443532,0.791286433132192,0.9873854275799847,0.98918365077051,0.9959833291131741
SMN1,0.550943691759771,0.4320346682287629,0.2971334603127367,0.6624347466691084,0.3938621355742456,0.5676430175112354,0.5991566188280726
MMP1,0.8973107319276334,0.7933036256027246,0.7875281835475082,0.7148475992224933,0.8950360640807875,0.9039591461900491,0.9371027396253475
Phgdh,0.9522501479935878,0.815740306741537,0.7358206593246204,0.9770594586426974,0.9999560818649026,0.98918365077051,0.9959833291131741
